Attendance,Internal_Marks,Study_Hours,Backlogs,CGPA,Risk_Level
81.73,62.72,11.01,0,7.18,Medium
60.16,46.5,3.03,5,5.6,High
58.71,52.67,6.86,1,5.48,High
95.73,92.29,28.11,0,8.3,Low
78.62,72.3,13.51,2,7.33,Medium
81.28,71.55,14.54,0,6.82,Medium
87.57,92.21,23.42,0,9.63,Low
78.72,67.7,13.56,1,6.76,Medium
64.2,33.63,1.19,4,5.83,High
40.17,37.55,4.2,4,5.73,High
79.81,60.14,9.78,2,7.1,Medium
91.45,95.01,17.17,1,9.51,Low
51.79,45.35,6.28,1,4.79,High
74.68,58.42,13.49,2,7.61,Medium
75.68,68.34,8.61,0,6.38,Medium
82.59,70.55,10.53,2,6.21,Medium
76.33,74.2,12.66,0,6.12,Medium
68.83,48.04,4.37,2,4.14,High
91.22,87.18,19.54,1,8.42,Low
91.76,79.28,15.63,1,8.02,Low
56.42,33.22,7.83,3,5.36,High
49.63,34.36,2.75,5,5.73,High
93.4,95.36,20.46,1,9.13,Low
50.72,30.42,6.26,4,5.61,High
75.43,64.68,12.64,0,6.93,Medium
57.3,31.82,6.6,4,5.67,High
70.01,66.24,13.81,1,6.17,Medium
60.24,49.67,7.86,2,4.73,High
77.23,72.8,12.44,0,7.84,Medium
87.48,91.43,27.13,1,9.44,Low
96.62,77.89,22.66,0,9.29,Low
45.18,48.9,2.93,3,5.37,High
87.09,85.88,28.81,0,8.76,Low
75.81,57.35,9.38,0,7.28,Medium
80.15,61.63,10.32,0,7.97,Medium
43.26,40.05,3.73,2,5.05,High
87.65,98.98,18.25,0,8.38,Low
82.87,71.37,8.46,1,7.44,Medium
44.34,38.82,6.28,4,5.5,High
75.55,62.52,8.15,0,7.55,Medium
62.94,48.16,7.17,5,4.9,High
93.01,94.39,20.1,1,8.13,Low
98.02,96.4,21.85,0,8.19,Low
59.96,38.23,3.09,4,5.97,High
98.89,96.99,26.13,1,9.55,Low
51.54,51.98,6.14,4,4.2,High
90.68,87.49,17.44,0,9.23,Low
85.69,82.27,28.23,0,9.07,Low
84.66,61.46,8.46,0,7.88,Medium
55.03,47.91,5.1,1,5.17,High
51.57,52.09,7.64,2,5.64,High
46.75,30.44,7.74,5,5.05,High
93.26,78.99,21.96,0,8.15,Low
84.62,71.3,14.25,2,6.83,Medium
50.26,40.45,0.12,4,5.81,High
51.98,48.18,4.03,4,4.08,High
84.8,63.41,9.8,0,6.35,Medium
74.11,70.33,12.49,1,7.64,Medium
47.47,52.17,3.47,3,4.46,High
76.64,59.64,13.52,1,7.55,Medium
84.93,61.29,8.8,2,7.66,Medium
72.89,57.17,10.26,2,6.06,Medium
40.39,48.21,0.27,2,5.72,High
57.34,39.3,4.06,1,5.1,High
76.12,57.04,13.6,0,7.86,Medium
54.59,36.62,7.45,5,6.0,High
90.83,85.27,26.9,0,9.52,Low
76.55,55.84,10.66,0,7.15,Medium
72.1,55.49,11.62,0,7.28,Medium
72.18,67.91,12.92,2,6.64,Medium
89.73,84.77,15.52,1,9.51,Low
53.81,41.14,2.29,1,4.71,High
94.49,75.81,26.81,0,9.65,Low
71.27,60.81,13.77,2,7.59,Medium
41.5,46.85,4.51,3,4.97,High
46.91,31.84,3.21,1,4.41,High
78.9,62.18,14.49,2,6.97,Medium
97.23,75.13,15.64,0,9.27,Low
61.86,50.01,6.38,5,5.71,High
77.58,68.91,8.2,2,7.24,Medium
93.56,92.44,23.67,0,9.26,Low
96.35,93.65,19.48,1,8.8,Low
95.13,95.92,22.38,1,9.03,Low
70.81,67.14,11.55,0,6.74,Medium
85.61,78.48,19.89,0,8.86,Low
65.48,39.45,3.77,1,4.35,High
90.22,90.67,18.97,0,8.72,Low
62.87,40.19,0.17,5,4.32,High
78.84,63.19,10.98,2,7.64,Medium
91.67,76.3,16.22,0,9.94,Low
78.46,64.21,12.89,0,6.39,Medium
71.32,56.32,11.89,2,6.82,Medium
75.18,58.64,12.34,1,6.56,Medium
91.96,86.86,25.17,0,9.75,Low
86.1,89.79,25.73,1,9.66,Low
93.56,97.01,25.49,0,8.38,Low
59.73,46.4,0.86,1,5.58,High
71.89,57.75,11.94,2,6.73,Medium
89.9,75.1,28.31,0,8.47,Low
97.09,94.39,25.68,0,9.48,Low
70.6,57.07,9.1,0,7.87,Medium
75.72,74.31,11.09,0,6.5,Medium
95.38,82.54,16.32,0,8.89,Low
86.17,82.8,26.5,0,8.82,Low
